"Clear Log","Clear Log"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Warmed Pages","Warmed Pages"
"Sorry, but there is no data available yet. Please check back later.","Sorry, but there is no data available yet. Please check back later."
"Status Codes","Status Codes"
"Please update Amasty Base module. Re-upload it and replace all the files.","Please update Amasty Base module. Re-upload it and replace all the files."
Installed,Installed
"Specify XML Google&reg; Sitemap settings properly. See more details <a href=""%1"" target=""_blank"">here</a>","Specify XML Google&reg; Sitemap settings properly. See more details <a href=""%1"" target=""_blank"">here</a>"
"Not Installed","Not Installed"
"Automatically generate XML Sitemaps in an efficient way. Let your FPC Crawler use XML sitemap for creating the queue for crawling. See more details <a target=""_blank"" href=""https://amasty.com/magento-xml-google-sitemap.html?utm_source=extension&amp;utm_medium=backend&amp;utm_campaign=m2_fpc_to_xmlsitemap"">here</a>","Automatically generate XML Sitemaps in an efficient way. Let your FPC Crawler use XML sitemap for creating the queue for crawling. See more details <a target=""_blank"" href=""https://amasty.com/magento-xml-google-sitemap.html?utm_source=extension&amp;utm_medium=backend&amp;utm_campaign=m2_fpc_to_xmlsitemap"">here</a>"
Undefined,Undefined
"Cache Hit","Cache Hit"
"Cache Miss","Cache Miss"
Ignored,Ignored
"Warmer log has been successfully cleared.","Warmer log has been successfully cleared."
System,System
"Warmer Log","Warmer Log"
"Warmer queue has been successfully generated.","Warmer queue has been successfully generated."
"Warmer Queue","Warmer Queue"
"First batch of warmer queue has been successfully processed.","First batch of warmer queue has been successfully processed."
Reports,Reports
"Unknown status code","Unknown status code"
"NOT LOGGED IN","NOT LOGGED IN"
"Home Page","Home Page"
"CMS pages","CMS pages"
"Product pages","Product pages"
"Category pages","Category pages"
"Pages Types","Pages Types"
"Text file with one link per line","Text file with one link per line"
"Sitemap XML","Sitemap XML"
"Sitemap XML and Text File together","Sitemap XML and Text File together"
"Already cached","Already cached"
"Can't get a file lock for queue generation process $1","Can't get a file lock for queue generation process $1"
"Can't get a file lock for queue processing process $1","Can't get a file lock for queue processing process $1"
"Another lock detected","Another lock detected"
"Combine is selected as source: ","Combine is selected as source: "
"File is selected as source: ","File is selected as source: "
"Sitemap XML is selected as source: ","Sitemap XML is selected as source: "
"but source is empty","but source is empty"
"but file does not exist with specified path: %1","but file does not exist with specified path: %1"
"but Amasty Crawler could not parse this file: %1","but Amasty Crawler could not parse this file: %1"
"but this file is empty: %1","but this file is empty: %1"
"but the Sitemap XML file does not exist with specified path: %1","but the Sitemap XML file does not exist with specified path: %1"
"but Amasty Crawler could not parse the Sitemap XML file: %1","but Amasty Crawler could not parse the Sitemap XML file: %1"
"Amasty Crawler could not parse the following URL from the Sitemap XML file: %1","Amasty Crawler could not parse the following URL from the Sitemap XML file: %1"
"The following file from the Sitemap XML file does not exist: %1","The following file from the Sitemap XML file does not exist: %1"
"Amasty Crawler could not parse the following file from the Sitemap XML file: %1","Amasty Crawler could not parse the following file from the Sitemap XML file: %1"
"but Amasty Crawler could not extract any URL from the Sitemap XML file: %1","but Amasty Crawler could not extract any URL from the Sitemap XML file: %1"
[Default],[Default]
Enabled,Enabled
"Page Type","Page Type"
"Sort Option","Sort Option"
"Click on the sector to see the detailed pages list","Click on the sector to see the detailed pages list"
"Not cacheable blocks","Not cacheable blocks"
"Warmed Pages Qty","Warmed Pages Qty"
"Full Page Cache Warmer","Full Page Cache Warmer"
Information,Information
General,General
"Enable Extension","Enable Extension"
"Auto-update cache upon the product changes","Auto-update cache upon the product changes"
"Adds product pages urls to the Warmer Queue upon the product edit","Adds product pages urls to the Warmer Queue upon the product edit"
Warmer,Warmer
"Query Generation Source","Query Generation Source"
"Links for query will be extracted from given sources","Links for query will be extracted from given sources"
"Queue links file path","Queue links file path"
"Please, set the relative path to the file on your server. <br/>Example: var/tmp/queue_links.txt","Please, set the relative path to the file on your server. <br/>Example: var/tmp/queue_links.txt"
"Sitemap XML file path","Sitemap XML file path"
"Please, set the relative path to the Sitemap XML file on your server. <br/>Example: sitemaps/sitemap.xml","Please, set the relative path to the Sitemap XML file on your server. <br/>Example: sitemaps/sitemap.xml"
"Queue Generation Schedule","Queue Generation Schedule"
"Use the cron expression to schedule queue generation jobs, e.g. 0 */12 * * * to run cron every twelve hours","Use the cron expression to schedule queue generation jobs, e.g. 0 */12 * * * to run cron every twelve hours"
"Queue Max Size","Queue Max Size"
"Set the maximum number of pages in the Warmer Queue","Set the maximum number of pages in the Warmer Queue"
"Single Batch Size","Single Batch Size"
"The number of page URLs that will be processed at a single cron run. Default value is: 50","The number of page URLs that will be processed at a single cron run. Default value is: 50"
"Warmer Schedule","Warmer Schedule"
"Use the cron expression to schedule warmer jobs, e.g. */5 * * * * to run cron every five minutes","Use the cron expression to schedule warmer jobs, e.g. */5 * * * * to run cron every five minutes"
"Delay between requests","Delay between requests"
"Please make sure there is enough delay to keep the server load safe. Default value is: 300 (milliseconds)","Please make sure there is enough delay to keep the server load safe. Default value is: 300 (milliseconds)"
"Log Size","Log Size"
"Set the maximum number of lines in the log table","Set the maximum number of lines in the log table"
"Exclude Pages","Exclude Pages"
"Add the regular expressions to exclude pages from warm up<br/>\? - pages with GET param","Add the regular expressions to exclude pages from warm up<br/>\? - pages with GET param"
"Page combinations","Page combinations"
"Switch Customer Groups","Switch Customer Groups"
"Customer Groups","Customer Groups"
"""General"" customer group is used by default even if nothing is selected","""General"" customer group is used by default even if nothing is selected"
"Switch Currencies","Switch Currencies"
Currencies,Currencies
"Default currency is used by default even if nothing is selected","Default currency is used by default even if nothing is selected"
"Switch Stores","Switch Stores"
Stores,Stores
"Default store view is used by default even if nothing is selected","Default store view is used by default even if nothing is selected"
"Connection Settings","Connection Settings"
"Use HTTP Authentication","Use HTTP Authentication"
"Use when website is protected with .htaccess","Use when website is protected with .htaccess"
Login,Login
Password,Password
"Disable certificate verification","Disable certificate verification"
"Enable this only if FPC warmer doesn't work for https","Enable this only if FPC warmer doesn't work for https"
Debug,Debug
"Show Cache Status","Show Cache Status"
"Show Cache Status Only For","Show Cache Status Only For"
"Enter IP addresses comma separated","Enter IP addresses comma separated"
"XML Google&reg; Sitemap","XML Google&reg; Sitemap"
Status,Status
Date,Date
Url,Url
"Store View","Store View"
Currency,Currency
"Customer Group","Customer Group"
Rate,Rate
Time,Time
"Generate queue","Generate queue"
"Start Warm Up","Start Warm Up"
